60001;Onion;10;A Crop!;0;('summer', 'fall', 'root', level = 1) 
60002;Strawberry;10;A Crop!;0;('summer', 'spring', 'fruit', level = 1) 
60003;Ginger;10;A Crop!;0;('winter', 'fall', 'herb', level = 30) 
60004;Yam;10;A Crop!;0;('summer', 'fall', 'root', level = 10) 
60005;Potato;10;A Crop!;0;('winter', 'fall', 'root', level = 1) 
60006;Tomato;10;A Crop!;0;('spring', 'fruit', level = 1) 
60007;Grape;10;A Crop!;0;('summer', 'fall', 'fruit', level = 15) 
60008;Coffee Bean;10;A Crop!;0;('summer', 'bean', level = 25) 
60009;Cocoa Bean;10;A Crop!;0;('summer', 'fall', 'bean', level = 35) 
60010;Watermelon;10;A Crop!;0;('summer', 'fall', 'fruit', level = 15) 
60011;Sugar Beet;10;A Crop!;0;('summer', 'fall', 'root', level = 20) 
60012;Carrot;10;A Crop!;0;('fall', 'root', level = 5) 
60013;Turnip;10;A Crop!;0;('winter', 'fall', 'root', level = 3) 
60014;Lettuce;10;A Crop!;0;('summer', 'vegetable', 'leaf', level = 5) 
60015;Spinach;10;A Crop!;0;('fall', 'vegetable', 'leaf', level = 15) 
60016;Pumpkin;10;A Crop!;0;('fall', 'vegetable', level = 10) 
60017;Apple;10;A Crop!;0;('summer', 'fall', 'fruit', level = 1) 
60018;Orange;10;A Crop!;0;('summer', 'fruit', level = 7) 
60019;Peach;10;A Crop!;0;('fall', 'fruit', level = 5) 
60020;Olive;10;A Crop!;0;('summer', 'fall', 'fruit', level = 5) 
60021;Almond;10;A Crop!;0;('summer', 'fall', 'nut', level = 35) 
60022;Lemon;10;A Crop!;0;('summer', 'fall', 'fruit', level = 5) 
60023;Tea Leaves;10;A Crop!;0;('summer', 'fall', 'leaf', level = 5) 
60024;Cherry;10;A Crop!;0;('summer', 'fall', 'fruit', level = 5) 
60025;Pear;10;A Crop!;0;('summer', 'fall', 'fruit', level = 5) 
60026;Plum;10;A Crop!;0;('summer', 'fall', 'fruit', level = 5) 
60027;Sorghum;10;A Crop!;0;('summer', 'fall', 'grain', level = 5) 
60028;Wheat;10;A Crop!;0;('summer', 'fall', 'grain', level = 5) 
60029;Rice;10;A Crop!;0;('summer', 'fall', 'grain', level = 5) 
60030;Corn;10;A Crop!;0;('summer', 'fall', 'grain', level = 5) 
60031;White Mushroom;10;A Crop!;0;('fall', 'mushroom', level = 5) 
60032;Brown Mushroom;10;A Crop!;0;('summer', 'mushroom', level = 5) 
60033;Shijemi;10;A Crop!;0;('spring', 'mushroom', level = 5) 
60034;Oyster Mushroom;10;A Crop!;0;('winter', 'mushroom', level = 5) 
60035;Peppermint;10;A Crop!;0;('spring', 'herb', level = 15) 
60036;Basil;10;A Crop!;0;('summer',  'herb', level = 15) 
60037;Parsley;10;A Crop!;0;('summer',  'herb', level = 20) 
60038;Chive;10;A Crop!;0;('spring',  'herb', level = 25) 
60039;Dill;10;A Crop!;0;('fall', 'herb', level = 20) 
60040;Oregano;10;A Crop!;0;('spring',  'herb', level = 25) 
60041;Thyme;10;A Crop!;0;('spring',  'herb', level = 15) 
